time,C3,C4,Cz,FC1,FC2,FC5,FC6,CP1,CP2,CP5,CP6
-0.2,8.363589068882144,-29.341020031045048,-3.5915998211172924,1.674059078529403,5.493407518189235,-2.4452033243969993,-7.368815054953489,1.7550424645044378,12.372481939868807,19.192679684869738,-18.153067518584717
-0.192,-0.572800446242888,-24.820795976351228,-9.959100439554854,-24.022269563892838,10.175104917330243,-7.472623427572066,-14.075897497588699,-8.495168347764041,6.7008947117245965,17.47251850117791,-25.67797234006019
-0.184,-24.754091815622086,-24.181271978227535,-10.956253755028065,-10.103634507343305,18.795100787265074,-8.140321526249622,-10.760231770080113,-11.544846291101452,-15.086104847225212,7.287855895885302,-24.42136387345113
-0.176,-34.57818356577523,-37.622143065975415,-9.127799995611825,-10.703835788811727,23.93306519346693,-5.692591193403432,-5.332783382311788,-12.306236308393723,-37.85125855483303,0.7652354765793801,-21.652149796139746
-0.168,-15.018211935629571,-55.96929339803078,-7.170701721939697,-35.78438540366341,20.1965871549742,-1.2449492734423533,-1.130372860140217,-10.726313836467122,-44.792055476362755,-3.692903039776822,-17.542685311364348
-0.16,7.154582278967985,-63.016847493978176,-1.7549084831064914,-44.074933683122474,11.094678521250527,3.643456240131849,3.9132683748245163,-3.7076987521553497,-45.19187859410089,-9.788590502849514,-3.856803576786877
-0.152,-0.7149453557326568,-56.99037400252051,0.34133104782358936,-49.67769090980896,8.77772542439877,3.7169836555320463,5.727555096442849,-3.0060838797403115,-42.920594676144546,-14.300383826875178,6.44393290847471
-0.144,-22.153263791909044,-47.206549891009274,-8.88601725216123,-67.69637310988016,15.308622982783955,-3.3142536690672455,-1.0350046694667911,-13.323401843407796,-41.96673543875,-17.062979072674143,1.8161014066157108
-0.136,-23.63484785610106,-34.25042000151404,-16.09536562002344,-61.01052483609879,17.583182768683272,-10.614350536321265,-11.879366678724763,-14.940061190894959,-48.04000749229315,-17.540350404691317,-2.7129649845672965
-0.128,-15.09802429594033,-16.124946962527805,-10.489576854700468,-34.75855359587058,11.936342662003145,-11.225133388337323,-16.180396344011086,-3.824262732322783,-45.34697630777593,-13.439932734975175,0.4137857544259495
-0.12,-14.505799090559961,-1.063393431899584,-5.5624262207923145,-28.6431221520292,8.2511633101,-6.332603458034749,-9.124880549070907,-2.6322918616606596,-32.45208671461844,-11.926410578708605,-0.6964056423183236
-0.112,-9.703938402978876,6.898780145625863,-6.137733320518428,-21.481703628204382,7.0597323423801575,-0.7915809011053834,1.6654889317667196,-11.728219060519015,-32.6353498902708,-16.171956777197202,-4.773804792578955
-0.104,-3.790464611501672,13.346819563292383,-0.009115454666656817,8.475673791002807,2.6401989309677063,1.4744625667060396,4.756266235258241,-10.886794422652569,-38.04152423249791,-12.689351642223695,-0.4251376241163299
-0.096,-12.899859621686065,18.032287968349742,6.426978217248115,22.970457796941325,-0.8410625445202349,0.2270893232549297,2.367459304657383,-4.1088877516222855,-30.821241680089436,-0.15796060648604832,7.394818438880206
-0.088,-14.600237357261292,17.23720080136041,1.3488926274738327,13.72021570215451,-0.94092514400235,0.4678537799929547,4.573586616493784,-2.888736203977062,-24.96160199495153,3.7004238498792605,7.993262232289153
-0.08,8.901163791802842,12.928975463282217,0.5393244908794999,12.905711992321484,-5.19936916303098,5.468867260041085,9.773618160870061,3.4732886027969077,-17.385950020172967,0.3906696623085671,6.210132668488276
-0.072,26.799199448662574,7.976962158775504,14.023905206210195,11.22941743569587,-14.705014135037082,11.953864299347792,13.150362172388006,18.07994071401924,11.11764713873987,7.13129367866373,11.427777324920951
-0.064,24.33845312851934,7.809848692676415,19.414609299045544,-1.8571430942016076,-20.237347585734387,14.040492886340713,15.28972057506017,22.351188769392806,35.91073242359765,19.000559174566387,16.82901991547433
-0.056,23.090689401331467,17.841628820244008,7.488668420948374,5.01115013154114,-17.796278754940452,8.452782381059565,10.50769754284948,11.846081849325495,32.32622721917294,20.910229865601245,10.426105688197097
-0.048,25.8505050297567,27.51304907282753,1.8115969677077763,27.67790788044823,-14.253251441212914,2.034729854512148,0.9670791309004649,4.7647535520879005,26.016621976435427,15.404971664073173,1.890863287683348
-0.04,24.505792994365518,25.548951548180288,11.353388586318074,30.082542653563404,-16.48683857059783,4.893640545090992,3.1107475219977236,10.542725436194484,33.4381661512048,10.30858181824085,8.232913745044538
-0.032,19.85050558104479,27.98469888524043,15.817454112692454,29.449438584770554,-19.468746941466637,8.161073114150703,8.905629747382392,16.167005044538605,41.198861321281846,7.1222296842170465,17.911034596228603
-0.024,4.67657464766291,48.5208388284504,6.285650418880052,51.690188458634864,-14.555959091979473,-1.0484742488402292,-1.4454118999092977,8.170019327834071,53.4099282150993,5.84103625664521,10.678487224456092
-0.016,-8.809264481338097,64.14543193703038,-1.949520691726245,65.99081243064194,-8.414112915067626,-7.985104194964367,-9.108253291800635,-2.5534564479575956,73.99499755584345,1.3912066924776745,-1.4472588375564055
-0.008,5.378954713209976,55.60512174655581,0.6901743123055851,56.25099924681548,-11.529268977979843,-0.5734094336725122,0.9727861615731677,2.824828285231783,83.68353690586476,-8.403327794965218,1.5284543082769215
0.0,21.923922544072582,39.19646060118803,6.148145923413919,52.68559508986644,-16.816737248223426,2.3453026692467254,1.760148425592821,16.697584884710988,87.32327036125304,-10.745344923762545,12.162924798068419
0.008,13.20260439144599,27.069423010295495,8.823730050466878,52.515355889821485,-18.430009806343758,-2.4854988643864444,-6.071819788538374,23.06380505337595,109.68687274503941,-1.9735171223172172,21.492108501140684
0.016,16.36159653921835,15.57013490907698,12.576459349055998,28.213955971025054,-25.65226836078492,5.367944546814861,7.258752443660501,29.326250072286815,139.03829048161754,-0.8606874483686121,35.244847737357766
0.024,38.4277152923989,14.703988838450966,14.517681046517275,6.177262725376643,-35.00892970706766,13.275073324310226,17.6766569803971,38.6491437490433,161.8467485103643,-9.619766750313568,45.000814428030004
0.032,28.405518838922344,23.9604639650147,8.73755092925686,26.31545795366088,-30.436623118895255,-1.1353898293276374,-5.371814165130148,35.02040587255669,200.46982685752576,-9.17787825212656,35.25453090777853
0.04,2.218638639872934,13.902331374258845,6.370323415741714,64.16651411942642,-17.60575301746853,-12.32590874945953,-21.193426029754086,24.789678879441848,236.9082648402031,-7.31167191466303,18.096662913430517
0.048,14.758695025195633,-18.99328449530968,18.05724413133088,76.49423908982232,-13.87810531166995,1.0152043681362417,-3.6380445211557295,29.776639810162635,217.5520428357223,-21.247704400471534,15.516429787485182
0.056,39.384990965211166,-45.60432621285794,27.29931407987635,62.14243398638004,-17.23732505386334,9.715110970188766,4.54476521665386,39.36194121416776,180.73421021884286,-27.83191285629109,23.000132995513535
0.064,35.887959581987246,-60.183335768654345,20.387823084212364,35.132029413228,-17.187371381331502,0.5720559078655837,-9.794437922198416,36.462335610527084,204.22928431068024,-11.637474150619084,22.058126785423735
0.072,26.78163965433128,-63.13453430023969,12.573696485277878,11.108416218943894,-14.039595319850832,-1.540375354609957,-11.776618711679998,36.11680597186234,241.99584387789432,-4.919456715605802,13.257302215190998
0.08,26.127725711563276,-35.547335667981365,12.469568562922506,13.547434747248632,-15.067748765500882,4.635623880073363,-1.649055764458233,46.63769610141738,215.63390458325767,-14.597297803841881,15.990528861582574
0.088,28.316023622882167,4.437057208804146,11.558646369318533,30.32668870372932,-25.154235355149233,5.221205911635403,2.685281247276199,51.31666633892896,169.98558650105792,-10.47403371892226,35.329655542590444
0.096,41.11605081743818,16.455441563406612,15.656953227544076,25.29560051884115,-35.955261177010776,9.973664211885986,10.783597148446407,47.61929128995312,159.4589643003539,-5.880241711216748,47.68986699665682
0.104,41.005529313348795,22.030302483229516,26.73951312205605,13.26220898306308,-31.53040746766353,17.537223214557322,18.418999818596006,41.85411716792938,149.09504670276888,-26.921526979989306,36.25250145955183
0.112,4.649050456003694,49.923798640565195,23.823887308592017,19.575450833103815,-15.096599761524233,10.40999533950539,9.68094789145065,25.15824142079246,126.85527238359435,-43.612741000055564,15.027379311658034
0.12,-19.77807756329325,58.68527117179565,7.480853357875771,12.778447434644493,-4.318772349892798,1.288980223874299,2.5132714947651986,2.5357086009871472,119.01445561017556,-36.158901783361785,-1.4293564371311978
0.128,-2.7604891793699604,36.007782491742674,0.7416593936799816,-12.645006098107054,-0.9392792508606435,5.627269078056744,8.329141959951482,-4.511378512699645,105.33199493368781,-33.15445231456147,-15.010969594520313
0.136,4.064505409465553,50.391507561188284,-2.0162612603793764,-3.138812476036102,1.5263837709073151,4.525834070827801,4.827541691348535,-2.338918630907927,72.69013634952321,-36.552130916440554,-22.79100253967813
0.144,-16.021775583056495,116.76277176219784,-12.987462317740787,37.648571707697435,-2.0885421611745674,-5.413962387440904,-2.827050754340657,-9.12179342935365,48.8752434005177,-28.49139040473802,-16.594402928394235
