time,C3,C4,Cz,FC1,FC2,FC5,FC6,CP1,CP2,CP5,CP6
-0.2,-17.134175911135383,37.44893832688299,-28.754793609898552,42.825995870594745,15.804268185113981,-10.311237074186057,-5.4214192245649135,-24.60541552615997,-36.75344500229874,-6.2735900499621975,-27.873355699990682
-0.192,-27.59026179114693,39.06782233680015,-24.683838432017527,44.334587079245566,15.013438967842813,-3.610315647650593,8.565666214318478,-26.457303273591275,-41.912368542625124,-12.018681730355306,-19.17607408720777
-0.184,-29.2195356846845,35.42490421062021,-24.91605283945631,52.14777958070548,14.220509890238807,-6.749764281738335,5.664538544149012,-26.550546840354105,-45.988191033559374,-25.834723254778602,-6.048012725874034
-0.176,-28.726772489072694,40.002260217189836,-28.591938186000483,57.07830809083177,16.30315678437556,-16.774796416163966,-11.285513914559537,-27.686843936179677,-43.23710069325926,-33.91430422979467,-6.767141719008232
-0.168,-28.3531770817288,52.311202500639205,-25.638827245649153,54.453626534844375,15.076196745486742,-17.25437913873366,-14.254139498574448,-26.0273377572747,-34.18045967850336,-35.5609976938899,-9.81364468666678
-0.16,-14.768271824742607,55.5308446662932,-13.580860953271584,47.71402051762058,6.804420353195119,-10.304906959460967,-8.476100988525426,-15.601897119368063,-16.14374708992764,-37.59410317152126,-3.4371637415329017
-0.152,-11.315987090022709,52.06663834664319,-8.309194611096125,38.038638447092964,3.8124334635285937,-11.080020745161956,-13.130594655972015,-9.455864522324813,5.643060354226513,-36.91651018001931,-0.8685367565929257
-0.144,-24.269430557842828,51.39138360493038,-14.479198585847355,20.542909276218733,10.58064635904539,-13.534356768013838,-15.538976163015109,-15.191085050112966,11.794267795837001,-34.580234176734805,-12.307663248132398
-0.136,-17.61316649265687,40.583627788083646,-14.35170879355143,2.3399154974291805,13.78084217019671,-5.538368648351787,-4.70005043822962,-13.503629001790166,-3.178981460471619,-34.362700041841116,-22.171375600120182
-0.128,1.8544739057079191,15.172861513958903,-2.500181136177978,-2.8419768694621275,8.501534305295296,2.252287649106074,1.0797019150198675,3.3818985501915537,-15.853795464557342,-27.318567674543274,-14.74689390515286
-0.12,3.69675251435617,-2.6855729017253127,7.492657903692513,-0.36412064431363633,2.501541026616161,0.682303532114207,-4.837500239525289,15.745127656719383,-10.989703326943607,-12.354904099111417,-0.12020143522934724
-0.112,2.579674396669521,-2.518631583487304,8.805806450454545,-3.361347394884659,-1.1277570457694552,-0.7134160187071913,-6.52917689574934,13.617178818113379,-4.941323978455181,-3.571804063503073,4.848377434386886
-0.104,6.818691494299539,5.427360232380228,3.6042265678614873,-10.279171674935586,-2.7570559298727986,0.43175422429739646,-2.5587301560485955,5.380997012290343,-9.896922419193404,-0.04345040517535453,1.7644746485200666
-0.096,3.3654385309203807,14.177517043359925,-0.9664392990061234,-15.773616271379746,-3.412476140386552,-1.3651263927612147,-3.1221283704641474,-1.1706524961212386,-13.247705485534233,6.435139437368368,0.36147189654855416
-0.088,7.15754156507267,18.79283672058616,5.062417099098551,-19.09513185841965,-7.305378571773593,-0.6652665446144571,-4.411693790933452,-0.4164178695778487,-8.146829475152098,7.98297207012779,2.8280805517669956
-0.08,17.34967212205461,14.093322292875447,15.375457720903478,-19.257396262279787,-12.352606208711284,3.822502032005467,-1.3531170406336481,6.35854928574881,-2.836890171045184,4.912233140512931,8.92593565402791
-0.072,8.87757154788227,2.833976014480118,16.492889737608973,-21.473674886781776,-12.73370631614757,3.8638593692482552,0.34429378529424487,10.82053674748538,0.07197697635106279,9.63152943995834,18.09146213618731
-0.064,5.154398372215957,-10.231040110794085,16.5314882004765,-29.406401799084634,-12.704362219190953,4.723151744394528,2.5619032099997554,14.438412218510386,-1.3646009762483997,14.447169760753376,23.807991557997397
-0.056,25.609886428402035,-19.109785528536218,23.1421287478453,-30.15689167808019,-15.452768817567481,13.19989477671338,11.475566960757046,19.49275180298655,-8.543061557484068,10.611743507763086,20.30887298242003
-0.048,30.131648970702038,-18.918585673539294,22.972489865170274,-19.414519135505085,-14.413624004156059,16.12105655055147,15.668275281705336,17.09188073267567,-2.9276821074941117,13.568641511960296,11.345515025062264
-0.04,16.345595187338986,-24.00501508506178,14.648650298573054,-18.901216792134544,-10.236651902996961,8.83584582408277,7.286573142179834,10.742267998410064,24.44926179903048,26.461930635157664,4.165375801386585
-0.032,21.37772650246468,-49.89809657917217,12.372883855719923,-33.97629865682679,-8.804501921655786,8.146765582264916,4.969200138941767,13.539796918083102,44.14767547078234,31.229525413046346,2.014383444229828
-0.024,25.120878157727695,-79.03456166760637,14.461912051053812,-37.06632280242786,-6.716711596789085,13.94260102412572,13.955839082869806,18.730899972510397,42.80744540672715,29.052354121720594,4.892971714089118
-0.016,8.457539897679451,-89.5748242368238,12.640640249874147,-23.816593135335683,-3.198440112696347,9.817306386811833,11.044160465844778,16.457503217876344,47.058920180464916,35.171722643269746,9.136618578438702
-0.008,3.961855768874863,-89.27253156952104,8.59221930698249,-26.748675689459247,-4.232022896915751,3.0176179930891265,1.2504348612025942,12.49693298788421,61.01640412068617,49.072793526762936,8.413191476144547
0.0,11.131433560664531,-89.07685087945607,4.577165636657567,-47.542425343272406,-6.950924566305465,9.045007946738895,11.752987774513038,8.372259473369267,63.153796358647085,61.766815562828825,2.4253407043019086
0.008,11.197193682310646,-90.0581386539707,4.439101249796576,-46.46337042168783,-6.833493748031671,15.717062268147261,24.03381008292074,4.608281447302725,57.19437518823011,67.16166139641457,-1.5817737960068967
0.016,22.678522636799247,-97.16690731857544,8.8884606108623,-19.269955593444557,-7.452528013342277,8.154716364258771,7.646453761091287,9.382981984468536,52.43239280670577,64.46471886593206,0.16854822739768693
0.024,36.529215024598756,-105.65576538227843,6.605241684850816,-6.740747204464459,-8.267900447183665,-0.922517834453793,-9.76096105922321,16.695842494584127,41.8565885637341,61.005783124324296,5.282269141070307
0.032,27.78363039783527,-102.93528683686348,-0.9220522248111378,-15.899577903794201,-7.551705952086984,3.8389246768254885,3.7865958907165607,16.309596737760234,34.76040761158201,58.006053302116676,11.766483051641316
0.04,25.492089224815846,-93.92893357353847,3.843689692945501,-12.243261026241012,-10.031476025422004,14.480034119508243,22.715062010874277,16.332295244733952,44.428163831128096,48.01733665936842,15.57820491861357
0.048,39.396942944151405,-87.42258969567247,15.584961221806257,7.116542787310139,-12.460749488635953,15.956028560494783,18.9583889166521,18.69184738912748,53.177218811663785,34.05725990639976,12.275114835926653
