time,C3,C4,Cz,FC1,FC2,FC5,FC6,CP1,CP2,CP5,CP6
-0.2,39.63946868349587,-3.199809517533557,31.225151943224848,-113.49347631894842,-15.263657308005524,21.56637720848792,22.832003031904634,24.78732827524277,100.9703112180102,-161.07649134611546,55.644969594702935
-0.192,41.370797446058546,2.808272207778146,36.5962904953943,-84.61512268563945,-20.15553097496157,26.58437200525836,30.265008586929486,25.626717771789853,131.78464293744946,-137.65980714113587,48.815345642875336
-0.184,49.926402158381244,-25.4297730857273,32.34885025729763,-48.695928455045774,-17.551620708922357,24.90820643165862,27.05896789385039,29.900253768707813,141.94574849659764,-109.85006793521605,37.508844307512405
-0.176,36.91293452968232,-72.715715105255,29.44055664461286,-21.279944627599832,-11.628909148116847,10.285411941120941,4.335307025394815,26.12586723749911,124.81986221392201,-58.18634957535441,32.852553061275344
-0.168,30.34409590525625,-115.5236288049002,34.0868977698293,-14.941614430415791,-10.618338050465546,1.2818653815213819,-11.809875568329693,19.803148219044708,114.11141696215658,-12.430566016136769,31.142406288878185
-0.16,45.963219250276346,-162.16857040699,37.23345592960668,-21.935957118312352,-16.486173040442342,8.269646247830472,-3.9619934402763297,27.110843906493827,122.10220396625219,46.119080394433915,24.996079935921465
-0.152,48.54224729305547,-196.6511195132601,31.65083360905617,-27.676527511801837,-24.765855884432245,12.865875317564852,4.633983078903808,38.6623036958263,105.32564869550768,142.07412525161658,21.848298675236343
-0.144,40.8575773695845,-181.65574702307714,22.95829666576925,-36.59969583568658,-35.10066174546994,7.2658397288072,-0.17452440281166337,39.15549822693649,48.3807833769936,217.21686608542376,29.353913377635205
-0.136,41.146265953852975,-132.42832808231748,12.260677446047147,-49.711522515179524,-41.82788066825156,0.9656239261980375,-6.616145959754797,28.44613203310228,1.0583917279541784,234.157539002047,31.052816734569753
-0.128,27.557474072688855,-92.69745550104253,-1.0095358741614189,-46.37511989681204,-34.487911000814904,-4.675295505866237,-10.40295752314715,10.789996730920345,-13.587772293344958,220.35196251383616,15.529887982862865
-0.12,5.017161151100625,-68.75607327889672,-3.518361449137433,-25.372516956658796,-17.054111829275616,-6.080200068499072,-9.450687674382431,-2.431147245471121,-24.03536776478508,161.23088804220373,1.2740483794332043
-0.112,2.114568238016381,-51.91543628419004,6.1261951849306655,-12.384110539178318,1.053774558506924,1.9842266140705016,0.3972072691876697,-2.8709763917033513,-37.741834002869375,47.016329648859504,-4.155692744444455
-0.104,1.2373862871398875,-38.9890538944729,5.2743063243531925,-7.007639784039768,17.958007026576656,4.468695159152248,3.3305037523610026,-5.925992898246732,-47.438349244585446,-42.74485109807008,-13.764099180377325
-0.096,-13.245121672423329,-8.058300974927372,-10.21607413575312,8.294901930544688,27.02582382699845,-6.590839702513295,-8.034367264053968,-21.445191585182208,-68.29147713715327,-64.73886560731414,-21.81250141712312
-0.088,-22.859730916631072,50.89868249365176,-20.23114856889763,17.985925231363197,24.05278420098632,-9.349393636057176,-5.743558883122065,-32.19467320768158,-96.00590113194635,-73.10566147574251,-18.796862385889995
-0.08,-30.540309239750584,103.73134977499717,-21.71277333951594,8.350492660232941,18.594356817036225,1.5443932924274,16.12143336000249,-32.575628586747875,-101.03233992492972,-87.19773642999506,-14.202151883695763
-0.072,-40.778704886674525,127.82442321582693,-24.92316528082561,8.070680356408122,13.544785943471018,1.2723894397716073,20.025763298493978,-35.6590231867911,-89.37056431418341,-78.91258907923293,-7.507890717250842
-0.064,-35.24535793143756,143.0053184998358,-28.848547269762758,33.96392289239198,7.171543108395274,-12.423103946656152,-0.5961795417356088,-38.00639455597623,-88.94364655288283,-75.223423826124,4.92355868682813
-0.056,-27.668573656609688,159.67685828922814,-30.697222026294682,62.47391685818608,10.883270628030301,-17.581338617416034,-10.446861180720026,-31.98319127384127,-90.26121751735289,-110.78355593226699,4.785266866978935
-0.048,-39.404713074874635,164.3914817212978,-28.81601249687679,76.23473703428077,23.494946709249387,-12.388323694826981,-3.721178547590072,-26.20060003447948,-67.93421240202042,-142.9213780836733,-12.793532523362542
-0.04,-42.47158642872574,153.40116638317554,-18.473822894627737,74.93648289421687,25.53558517095454,-7.6706964296203095,-2.0292084017139906,-19.967319930374824,-30.42355241275207,-128.55746899828912,-28.504642791007605
-0.032,-23.054530996975366,126.69962450618594,-6.955202515522744,61.64945606619648,19.404986572663383,-3.1315048143842787,-4.938286849371726,-4.1568786241948255,-5.482312511414448,-89.1153744323119,-39.05003765519193
-0.024,-14.95688371742043,78.87988683630157,-7.065099923312838,50.09001570032901,18.556546980062347,-0.8400380330647673,-5.070985893834897,8.172204606192247,-6.433122115031703,-33.154473266200185,-47.56068227752979
-0.016,-27.248257200957916,26.027890740977007,-16.20932819236519,44.47389401920819,15.549768644494723,-7.0213194694870875,-9.241614398580712,1.26296936039352,-28.396439001129632,56.74926528027267,-45.048572781613665
-0.008,-40.607458071887244,1.0552937437789218,-26.870921903291563,33.978998331104314,9.442857103587974,-16.021020459710265,-16.764489987232906,-12.202150614621676,-49.931613132485346,136.52418165778698,-39.97159982244768
0.0,-52.548370544221285,11.788763059555622,-33.654296399776605,29.58575270085581,12.671613068144898,-19.48984831576787,-19.997261780370263,-14.224095696836972,-45.1892881359766,144.21842236669832,-46.559723354775436
0.008,-57.97237185547958,33.807868344928345,-26.967023755196,40.48931813419615,16.878957248114077,-18.433473041232883,-21.345345469039376,-6.543800971161411,-18.0931046562136,104.01044247795011,-49.204729830606645
0.016,-50.39871424394844,41.90520777830281,-12.822146919191278,40.9096681611495,14.161859848723898,-15.41594503482462,-21.74898824459343,0.6062846810308128,-0.5477826256713558,64.82785405749057,-39.1180080982153
0.024,-50.49691277368146,33.084473973768176,-13.459524499338645,27.04780805378883,21.176934667269478,-11.624163951406274,-15.194852938826557,0.08231609939230426,-6.669690581224031,24.025671295014774,-37.28992970198255
0.032,-67.9980418119597,22.276363855083925,-28.605051474061007,25.907854965815485,37.73990945584488,-10.554220071565188,-5.584952801451676,-8.30152328679156,-24.95015806214282,-13.889933034311287,-43.70655053225155
0.04,-81.12302337613737,21.83834322488658,-38.435635398342676,27.734404163373426,42.551896452409764,-13.645405985322904,-3.614089289413681,-15.434067791722107,-45.10172973150922,-25.09030025858066,-36.67120811917599
0.048,-80.81216770925307,29.44581667428227,-37.77862931139316,14.344780946724297,36.88126766349507,-15.172585743797047,-4.9489903195062155,-14.398815710252627,-58.36168337927627,-25.73354487227944,-21.95374253269462
0.056,-75.08728859123205,37.37984077879991,-33.34712271357102,9.80677915281326,33.21048934517593,-11.114679956805984,0.5622552087121581,-11.652034995837097,-58.023709314131054,-38.69643312559677,-15.100289330406698
0.064,-72.1769916308408,47.18166626941294,-33.78569131581437,24.040822290191485,32.055740611819054,-11.668417791634774,0.9704169250940049,-17.249037848668905,-50.80131689280855,-49.176843557118666,-14.204582093635198
0.072,-83.11741826188289,63.9194516058178,-44.52991660582891,31.46617897614691,37.418691724211435,-22.50593208030975,-13.22159868643923,-27.6037453283096,-42.76422511899823,-51.62716161184363,-23.623289810339354
0.08,-95.0768928406363,77.21899126963993,-51.12670181610277,26.525559125780724,46.78868637850695,-23.497707758696258,-14.49443002768187,-28.527708456584627,-36.30851462925595,-58.92766299344422,-42.22801912309822
0.088,-84.2225489607815,74.5889956859809,-41.977316403787974,22.175296904328714,43.908253837302986,-8.07528392981697,7.115323269164071,-20.89812819563558,-41.4470554826131,-60.3006603857153,-44.89816063734087
0.096,-73.61998991017936,72.62199570272784,-37.45559248451211,21.04031364413785,34.68273972035757,-7.478765214273835,8.055820359692916,-23.507973180153726,-49.76254249896081,-51.6131224113817,-30.86264165811052
0.104,-85.53174035794314,87.98303724477731,-45.47499300185016,22.596558947621816,36.689689433697076,-26.448830088894322,-19.75079326321469,-35.73218370274502,-34.49636904006204,-60.79832163479555,-27.60416279929566
0.112,-87.05109979283647,94.73929496423526,-41.03079398890541,25.66287210957027,39.260082258426365,-28.775264332233714,-26.303294432300945,-34.09382673775264,-2.3182363501775205,-84.90359855652856,-31.031649957808057
0.12,-70.94411848898588,71.86952303095487,-25.97816848754616,31.14850231793311,33.75000342587613,-16.690389506751128,-12.739275958994778,-19.15804707266479,22.054242663942134,-87.08225566297092,-25.536399090366732
0.128,-70.89542074161027,44.76729374520882,-26.814848198760945,40.65937283154948,35.217379860239426,-22.12898715663132,-22.72181599667441,-12.906150681324238,45.32272125245961,-71.81049452762525,-26.1655655412609
0.136,-75.22456738620379,26.518596515174806,-35.52962384019802,40.4007914996611,40.14176652770803,-32.79555786154502,-39.87722092648261,-11.43371872389545,69.36131244243663,-56.49697038180991,-34.54234970196268
0.144,-62.831458033786184,-2.6562259454694948,-32.10927021541336,25.92616170247842,31.263952778458684,-26.5786977528574,-32.56225682268376,1.836674763550711,69.92849186310666,-8.990991158176294,-29.379494318608078
0.152,-55.59199698179799,-36.939204501822196,-23.939442960997745,18.54307881245663,16.783851158270792,-19.140966862406902,-23.044125843091276,17.5260247383011,52.629699372045984,78.2266146751011,-19.357800173025996
0.16,-51.68380969162242,-52.11168752690252,-17.864791897887592,16.44741209659304,9.794640352486123,-17.805018128760278,-24.28460959731798,20.346432298331834,44.06903087251434,136.9721256119973,-24.287943584166605
0.168,-35.379347311152166,-49.00817970689432,-12.351421994056732,-0.694150210989541,9.621524043514219,-12.530741558942053,-20.5536479277346,12.80320284280654,38.36211396565154,122.29698125370834,-35.02183481891477
0.176,-37.963578457484715,-33.64035388649377,-16.461292042673257,-19.359753124097804,20.187648213760202,-13.079983705975241,-20.324828996584348,-1.7027913258254974,28.426515508598307,61.28687831373745,-42.26008353143537
0.184,-66.21649569414704,-10.312901580745349,-29.734910676520936,-26.49137991841112,38.760935147669414,-22.992598334704958,-29.267835770199394,-21.09613436001066,34.32965774801957,-10.220954553662652,-49.663953271475016
0.192,-73.26163977091147,-2.9112103312078728,-36.87748716869939,-39.500495959473604,48.205345017773375,-24.61648098831998,-28.27918586703798,-32.79536481830515,56.056646591963066,-67.00188134925052,-52.23606752537288
0.2,-57.61193431551254,-23.80546600321206,-35.86611275772141,-55.35295721286363,46.476491076119174,-18.813993296579717,-19.871737300716966,-29.899243902368298,64.29417835773349,-86.72645171739411,-44.58605005188413
0.208,-53.51192834465147,-52.64561542806533,-31.089984961513892,-54.77023524385797,43.44688746834632,-16.285957150314903,-15.824005129346935,-21.77797377650285,45.08461229559114,-80.56711082846898,-27.86569856366794
0.216,-53.077735031044625,-71.34616385898937,-21.589130448170156,-44.262352371902956,38.60074865785931,-12.884000791190427,-9.476710985466028,-16.58341487149572,11.562934866665548,-81.70711450090067,-3.844972830152437
0.224,-47.49356998720159,-72.35016837852356,-18.169132021860488,-31.10411438511486,34.543049015506874,-13.035305521770752,-8.324785208078739,-16.035627335007124,-12.315961609217496,-95.928250966171,14.217436470132865
0.232,-50.77333146081303,-51.00272813624881,-27.65137292963866,-15.256357375064804,36.277130668605075,-20.458240004453003,-16.80759533140564,-19.481604004245998,-12.629491291144953,-107.38598421111637,14.335250256526459
0.24,-47.547208413417735,-23.332370587130892,-31.17218358943335,-12.827651211137638,33.84406079977485,-16.950323568279465,-10.5339108112798,-17.92060817391563,0.744498511671922,-110.62036112796858,8.540321855301
