ts,0,1,2,3,4,5,6,7,8
73746.2791524484,0.024655717100404324,0.14384005825875526,0.3715332663702901,0.3598554248721027,-0.20477063570878012,-0.629416415198191,-0.29794960617105454,0.07138022123943441,-0.1828833219541707
73746.28714839938,0.024655576471845,0.14383868172516004,0.3715291456636441,0.3598471140417256,-0.20477785148015418,-0.629418454857439,-0.2979488603077447,0.0713801102956394,-0.18288413309375312
73746.29514435034,0.024655766917220684,0.14383984569706548,0.3715313028734875,0.3598483638368853,-0.20478133549902364,-0.6294224795510508,-0.29794728965732803,0.07138418750102053,-0.18288254426325093
73746.30314030132,0.02465523597567056,0.14383629386415045,0.3715188129795358,0.35982608675023203,-0.20480130143287784,-0.6294278041963587,-0.2979444679506713,0.07138038374656883,-0.1828908592968881
73746.31113625229,0.024655454560710707,0.1438383349212587,0.37152537369870237,0.35983765480308694,-0.20478985381839937,-0.629421053479296,-0.29794121469687523,0.07138033307476307,-0.18289600084980556
73746.31913220325,0.024655704973977406,0.1438402454076318,0.3715332905649932,0.3598533194263346,-0.20477151384232023,-0.629409146879793,-0.29793535236017166,0.07138607886896627,-0.18289207191055448
73746.32712815423,0.024656024500213945,0.14384239694786852,0.37154120119003375,0.3598692087032247,-0.20475409679330955,-0.6294009013399346,-0.29793675609687365,0.07138660806699668,-0.18288604810812223
73746.33512410519,0.024655984706509967,0.143842576448938,0.3715408602258169,0.3598673923177951,-0.20475895049524534,-0.6294083703038669,-0.29794453171647306,0.07138022614142528,-0.18288883052384514
73746.34312005616,0.02465588511299455,0.14384182766158232,0.3715396712730006,0.3598669524710144,-0.2047566671229742,-0.6294065485264554,-0.2979462505876503,0.07137884947559645,-0.18288678808724637
73746.35111600714,0.024656499002991175,0.1438449838568436,0.37155251350659224,0.35989226883577036,-0.20473077076174084,-0.6293949510312823,-0.29794271098387815,0.07139258023897292,-0.18287040446288422
73746.3591119581,0.024655879003851976,0.14384082073158896,0.3715365010644063,0.3598611166786674,-0.20476665671546013,-0.6294186236492438,-0.2979538907328015,0.07138141393858213,-0.18288064686859573
73746.36710790907,0.024655798577053568,0.14384031352963045,0.3715362294610868,0.3598627247480658,-0.20475948728893575,-0.6294098323285773,-0.29795085498463186,0.07138015407114995,-0.18287994471302424
